chapterid;course;year;part;title;
15;algebra;2001;0; Hoofdstuk 1 tot 5 : Rechten en vlakken, oppervlakken en krommen in de ruimte;
16;algebra;2001;0; Hoofdstuk 6 : Kwadrieken of oppervlakken van de tweede graad;
17;algebra;2001;0; Hoofdstuk 7 : Meetkundige plaatsen;
18;algebra;2001;1; Varia;
19;algebra;2001;0; Vragen over de oefeningen van het eerste boek (deel 1);
20;algebra;2001;0; Vragen over de oefeningen van het tweede boek (deel 2 en 3);
21;algebra;2001;0; Examenvragen;
22;algebra;2001;0; Algemene vragen;
1;algebra;2002;1; Deel 1 : Algebraische structuren en logica;
2;algebra;2002;0; Hoofdstukken 5 en 6: Logica en Booleaanse algebra;
3;algebra;2002;0; Bijlage A : De CD-speler;
4;algebra;2002;1; Deel 2 : Lineaire algebra en matrixrekenen;
5;algebra;2002;0; Hoofdstuk 1 : Vectorrruimten en lineaire afbeeldingen ;
6;algebra;2002;0; Hoofdstuk 2 tot 4 : Matrixrekenen, stelsels van lin. verg. en determinanten;
7;algebra;2002;0; Hoofdstuk 5 : Eigenwaarden en eigenvectoren;
8;algebra;2002;0; Hoofdstuk 6 en 7 : Kwadratische vormen en Euclidische vectorruimten;
9;algebra;2002;0; Hoofdstuk 8 : Kleinste kwadraten oplossing en Gram-Schmidt orthogonalisatie;
10;algebra;2002;0; Hoofdstuk 9 : Singuliere waarden ontbinding;
11;algebra;2002;1; Deel 3 : Analytische meetkunde in de ruimte;
12;algebra;2002;0; Hoofdstuk 1 tot 5 : Rechten en vlakken, oppervlakken en krommen in de ruimte;
13;algebra;2002;0; Hoofdstuk 6 : Kwadrieken of oppervlakken van de tweede graad;
14;algebra;2002;0; Hoofdstuk 7 : Meetkundige plaatsen;
15;algebra;2002;1; Varia;
16;algebra;2002;0; Vragen over de oefeningen van het eerste boek (deel 1);
17;algebra;2002;0; Vragen over de oefeningen van het tweede boek (deel 2 en 3);
18;algebra;2002;0; Examenvragen;
19;algebra;2002;0; Algemene vragen;
1;algebra;2003;1; Deel 1 : Lineaire algebra en matrixrekenen;
2;algebra;2003;0; Vectorrruimten en lineaire afbeeldingen ;
3;algebra;2003;0; Matrixrekenen, stelsels van lin. verg. en determinanten;
4;algebra;2003;0; Eigenwaarden en eigenvectoren, trillingen van systemen;
5;algebra;2003;0; Kwadratische vormen en Euclidische vectorruimten;
6;algebra;2003;0; Normen, afstand scalair product;
7;algebra;2003;0; Kleinste kwadraten oplossing en Gram-Schmidt orthogonalisatie;
8;algebra;2003;0; Singuliere waarden ontbinding;
9;algebra;2003;1; Deel 2 : Discrete tijdsystemen;
10;algebra;2003;0; Tijdsdomeinanalyse van discrete-tijdsystemen;
11;algebra;2003;0; Frequentiedomeinanalyse van discrete-tijdsystemen;
12;algebra;2003;0; Toestandsbeschrijving in tijd -en frequentiedomein;
13;algebra;2003;0; Rekenen met blokdiagrammen, Simulink voorbeelden;
14;algebra;2003;1; Varia;
15;algebra;2003;0; Vragen over de oefeningen van deel 1;
16;algebra;2003;0; Vragen over de oefeningen van deel 2;
17;algebra;2003;0; Examenvragen;
18;algebra;2003;0; Algemene vragen;
1;stat;1998;0; Hoofdstuk 1 : Een standaardvoorbeeld van een statistisch probleem;
2;stat;1998;0; Hoofdstuk 2 : Beschrijvende statitistiek;
3;stat;1998;1; Deel Kansrekenen;
4;stat;1998;0; Hoofdstuk 3 : Basisbegrippen kansrekenen;
5;stat;1998;0; Hoofdstuk 4 : Toevalsvariabelen;
6;stat;1998;0; Hoofdstuk 5 : Kansmodellen;
7;stat;1998;0; Hoofdstuk 6 : Toevalsvectoren;
8;stat;1998;0; Hoofdstuk 7 : Multivariate kansmodellen;
9;stat;1998;1; Deel Statistiek;
10;stat;1998;0; Hoofdstuk 8 : Steekproefverdelingen;
11;stat;1998;0; Hoofdstuk 9 : Het schatten van parameters;
12;stat;1998;0; Hoofdstuk 10 : Intervalschattingen;
13;stat;1998;0; Hoofdstuk 11 : Hypothesetesten;
14;stat;1998;0; Hoofdstuk 12 : Validatie van het kansmodel;
15;stat;1998;0; Hoofdstuk 13 : Regressie- en correctie-analyse;
16;stat;1998;0; Vragen over de oefeningen;
1;stat;1999;0; Hoofdstuk 1 en 2 : Inleiding en beschrijvende statistiek;
2;stat;1999;1; Deel Kansrekenen;
3;stat;1999;0; Hoofdstuk 3 : Basisbegrippen kansrekenen;
4;stat;1999;0; Hoofdstuk 4 : Toevalsvariabelen;
5;stat;1999;0; Hoofdstuk 5 : Kansmodellen;
6;stat;1999;0; Hoofdstuk 6 en 7 : Toevalsvectoren;
7;stat;1999;1; Deel Statistiek;
8;stat;1999;0; Hoofdstuk 8 : Steekproefverdelingen;
9;stat;1999;0; Hoofdstuk 9 : Het schatten van parameters;
10;stat;1999;0; Hoofdstuk 10 en 11 : Intervalschattingen en hypothesetesten;
11;stat;1999;0;  Hoofdstuk 12 : Validatie van het kansmodel;
12;stat;1999;0; Hoofdstuk 13 : Regressie- en correlatie-analyse;
13;stat;1999;1; Varia;
14;stat;1999;0; Vragen over de oefeningen;
15;stat;1999;0; Allerlei;
1;stat;2000;0; Hoofdstuk 1 en 2 : Inleiding en beschrijvende statistiek;
2;stat;2000;1; Deel Kansrekenen;
3;stat;2000;0; Hoofdstuk 3 : Basisbegrippen kansrekenen;
4;stat;2000;0; Hoofdstuk 4 : Toevalsvariabelen;
5;stat;2000;0; Hoofdstuk 5 : Kansmodellen;
6;stat;2000;0; Hoofdstuk 6 en 7 : Toevalsvectoren;
7;stat;2000;1; Deel Statistiek;
8;stat;2000;0; Hoofdstuk 8 : Steekproefverdelingen;
9;stat;2000;0; Hoofdstuk 9 : Het schatten van parameters;
10;stat;2000;0; Hoofdstuk 10 en 11 : Intervalschattingen en hypothesetesten;
11;stat;2000;0;  Hoofdstuk 12 : Validatie van het kansmodel;
12;stat;2000;0; Hoofdstuk 13 : Regressie- en correlatie-analyse;
13;stat;2000;1; Varia;
14;stat;2000;0; Vragen over de oefeningen;
15;stat;2000;0; Allerlei;
1;stat;2001;0; Hoofdstuk 1 en 2 : Inleiding en beschrijvende statistiek;
2;stat;2001;1; Deel Kansrekenen;
3;stat;2001;0; Hoofdstuk 3 : Basisbegrippen kansrekenen;
4;stat;2001;0; Hoofdstuk 4 : Toevalsvariabelen;
5;stat;2001;0; Hoofdstuk 5 : Kansmodellen;
6;stat;2001;0; Hoofdstuk 6 en 7 : Toevalsvectoren;
7;stat;2001;1; Deel Statistiek;
8;stat;2001;0; Hoofdstuk 8 : Steekproefverdelingen;
9;stat;2001;0; Hoofdstuk 9 : Het schatten van parameters;
10;stat;2001;0; Hoofdstuk 10 en 11 : Intervalschattingen en hypothesetesten;
11;stat;2001;0;  Hoofdstuk 12 : Validatie van het kansmodel;
12;stat;2001;0; Hoofdstuk 13 : Regressie- en correlatie-analyse;
13;stat;2001;1; Varia;
14;stat;2001;0; Vragen over de oefeningen;
15;stat;2001;0; Allerlei;
1;stat;2003;0; Hoofdstuk 1 en 2 : Inleiding en beschrijvende statistiek;
2;stat;2003;1; Deel Kansrekenen;
3;stat;2003;0; Hoofdstuk 3 : Basisbegrippen kansrekenen;
4;stat;2003;0; Hoofdstuk 4 : Toevalsvariabelen;
5;stat;2003;0; Hoofdstuk 5 : Kansmodellen;
6;stat;2003;0; Hoofdstuk 6 en 7 : Toevalsvectoren;
7;stat;2003;1; Deel Statistiek;
8;stat;2003;0; Hoofdstuk 8 : Steekproefverdelingen;
9;stat;2003;0; Hoofdstuk 9 : Het schatten van parameters;
10;stat;2003;0; Hoofdstuk 10 en 11 : Intervalschattingen en hypothesetesten;
11;stat;2003;0;  Hoofdstuk 12 : Validatie van het kansmodel;
12;stat;2003;0; Hoofdstuk 13 : Regressie- en correlatie-analyse;
13;stat;2003;1; Varia;
14;stat;2003;0; Vragen over de oefeningen;
15;stat;2003;0; Allerlei;
1;analyse;1997;0;Hoofdstuk 1 : Getallen, functies en rijen;
2;analyse;1997;0;Hoofdstuk 2 : Limieten en continu&iuml;teit;
3;analyse;1997;0;Hoofdstuk 3 : Differentieerbaarheid van functies van &eacute;&eacute;n veranderlijke
4;analyse;1997;0;Hoofdstuk 4 : Differentieerbaarheid van functies van meer veranderlijken;
5;analyse;1997;0;Hoofdstuk 5 : Integratietheorie en integratiemethodes;
6;analyse;1997;0;Hoofdstuk 6 : Oneigenlijke integralen;
7;analyse;1997;0;Hoofdstuk 7 : Reeksen van re&euml;le getallen;
8;analyse;1997;0;Hoofdstuk 8 : Rijen en reeksen van functies;
9;analyse;1997;0;Hoofdstuk 9 : Extremaalproblemen bij functies van meer veranderlijken;
10;analyse;1997;0;Hoofdstuk 10 : Integralen over krommen en oppervlakken;
11;analyse;1997;0;Hoofdstuk 11 : Vectorvelden, lijnintegralen en oppervlakintegralen;
12;analyse;1997;0;Hoofdstuk 12 : Differentiaalvergelijkingen;
13;analyse;1997;0;Oefeningen;
14;analyse;1997;0;Maple;
15;analyse;1997;0;Allerlei;
1;analyse;1998;0;Hoofdstuk 1 : Getallen, functies en rijen;
2;analyse;1998;0;Hoofdstuk 2 : Limieten en continu&iuml;teit;
3;analyse;1998;0;Hoofdstuk 3 : Differentieerbaarheid van functies van &eacute;&eacute;n veranderlijke
4;analyse;1998;0;Hoofdstuk 4 : Differentieerbaarheid van functies van meer veranderlijken;
5;analyse;1998;0;Hoofdstuk 5 : Integratietheorie en integratiemethodes;
6;analyse;1998;0;Hoofdstuk 6 : Oneigenlijke integralen;
7;analyse;1998;0;Hoofdstuk 7 : Reeksen van re&euml;le getallen;
8;analyse;1998;0;Hoofdstuk 8 : Rijen en reeksen van functies;
9;analyse;1998;0;Hoofdstuk 9 : Extremaalproblemen bij functies van meer veranderlijken;
10;analyse;1998;0;Hoofdstuk 10 : Integralen over krommen en oppervlakken;
11;analyse;1998;0;Hoofdstuk 11 : Vectorvelden, lijnintegralen en oppervlakintegralen;
12;analyse;1998;0;Hoofdstuk 12 : Differentiaalvergelijkingen;
13;analyse;1998;0;Oefeningen;
14;analyse;1998;0;Maple;
15;analyse;1998;0;Allerlei;
1;analyse;1999;0;Hoofdstuk 1 : Getallen, functies en rijen;
2;analyse;1999;0;Hoofdstuk 2 : Limieten en continu&iuml;teit;
3;analyse;1999;0;Hoofdstuk 3 : Differentieerbaarheid van functies van &eacute;&eacute;n veranderlijke
4;analyse;1999;0;Hoofdstuk 4 : Differentieerbaarheid van functies van meer veranderlijken;
5;analyse;1999;0;Hoofdstuk 5 : Integratietheorie en integratiemethodes;
6;analyse;1999;0;Hoofdstuk 6 : Oneigenlijke integralen;
7;analyse;1999;0;Hoofdstuk 7 : Reeksen van re&euml;le getallen;
8;analyse;1999;0;Hoofdstuk 8 : Rijen en reeksen van functies;
9;analyse;1999;0;Hoofdstuk 9 : Extremaalproblemen bij functies van meer veranderlijken;
10;analyse;1999;0;Hoofdstuk 10 : Integralen over krommen en oppervlakken;
11;analyse;1999;0;Hoofdstuk 11 : Vectorvelden, lijnintegralen en oppervlakintegralen;
12;analyse;1999;0;Hoofdstuk 12 : Differentiaalvergelijkingen;
13;analyse;1999;0;Oefeningen;
14;analyse;1999;0;Maple;
15;analyse;1999;0;Allerlei;
1;analyse;2000;0; Hoofdstuk 1 : Getallen, functies en rijen;
2;analyse;2000;0; Hoofdstuk 2 : Limieten en continu&iuml;teit;
3;analyse;2000;0; Hoofdstuk 3 : Differentieerbaarheid van functies van &eacute;&eacute;n veranderlijke
4;analyse;2000;0; Hoofdstuk 4 : Differentieerbaarheid van functies van meer veranderlijken;
5;analyse;2000;0; Hoofdstuk 5 : Integratietheorie en integratiemethodes;
6;analyse;2000;0; Hoofdstuk 6 : Oneigenlijke integralen;
7;analyse;2000;0; Hoofdstuk 7 : Reeksen van re&euml;le getallen;
8;analyse;2000;0; Hoofdstuk 8 : Rijen en reeksen van functies;
9;analyse;2000;0; Hoofdstuk 9 : Extremaalproblemen bij functies van meer veranderlijken;
10;analyse;2000;0; Hoofdstuk 10 : Integralen over krommen en oppervlakken;
11;analyse;2000;0; Hoofdstuk 11 : Vectorvelden, lijnintegralen en oppervlakintegralen;
12;analyse;2000;0; Hoofdstuk 12 : Differentiaalvergelijkingen;
13;analyse;2000;0;Oefeningen;
14;analyse;2000;0;Maple;
15;analyse;2000;0;Allerlei;
1;analyse;2001;0; Hoofdstuk 1 : Getallen, functies en rijen;
2;analyse;2001;0; Hoofdstuk 2 : Limieten en continu&iuml;teit;
3;analyse;2001;0; Hoofdstuk 3 : Differentieerbaarheid van functies van &eacute;&eacute;n veranderlijke
4;analyse;2001;0; Hoofdstuk 4 : Differentieerbaarheid van functies van meer veranderlijken;
5;analyse;2001;0; Hoofdstuk 5 : Integratietheorie en integratiemethodes;
6;analyse;2001;0; Hoofdstuk 6 : Differentiaalvergelijkingen;
7;analyse;2001;0; Hoofdstuk 7 : Oneigenlijke integralen;
8;analyse;2001;0; Hoofdstuk 8 : Integralen over krommen en oppervlakken;
9;analyse;2001;0; Hoofdstuk 9 : Vectorvelden, lijnintegralen en oppervlakintegralen;
10;analyse;2001;0; Hoofdstuk 10 : Reeksen van re&euml;le getallen;
11;analyse;2001;0; Hoofdstuk 11 : Rijen en reeksen van functies;
12;analyse;2001;0; Hoofdstuk 12 : Extremaalproblemen bij functies van meer veranderlijken;
13;analyse;2001;0;Oefeningen;
14;analyse;2001;0;Maple;
15;analyse;2001;0;Allerlei;
1;analyse;2002;0; Hoofdstuk 1 : Getallen, functies en rijen;
2;analyse;2002;0; Hoofdstuk 2 : Limieten en continu&iuml;teit;
3;analyse;2002;0; Hoofdstuk 3 : Differentieerbaarheid van functies van &eacute;&eacute;n veranderlijke
4;analyse;2002;0; Hoofdstuk 4 : Differentieerbaarheid van functies van meer veranderlijken;
5;analyse;2002;0; Hoofdstuk 5 : Integratietheorie en integratiemethodes;
6;analyse;2002;0; Hoofdstuk 6 : Differentiaalvergelijkingen;
7;analyse;2002;0; Hoofdstuk 7 : Oneigenlijke integralen;
8;analyse;2002;0; Hoofdstuk 8 : Integralen over krommen en oppervlakken;
9;analyse;2002;0; Hoofdstuk 9 : Vectorvelden, lijnintegralen en oppervlakintegralen;
10;analyse;2002;0; Hoofdstuk 10 : Reeksen van re&euml;le getallen;
11;analyse;2002;0; Hoofdstuk 11 : Rijen en reeksen van functies;
12;analyse;2002;0; Hoofdstuk 12 : Extremaalproblemen bij functies van meer veranderlijken;
13;analyse;2002;0; Oefeningen;
14;analyse;2002;0; Maple;
15;analyse;2002;0;Allerlei;
1;analyse;2003;0; Hoofdstuk 1 : Getallen, functies en rijen;
2;analyse;2003;0; Hoofdstuk 2 : Limieten en continu&iuml;teit;
3;analyse;2003;0; Hoofdstuk 3 : Differentieerbaarheid van functies van &eacute;&eacute;n veranderlijke
4;analyse;2003;0; Hoofdstuk 4 : Differentieerbaarheid van functies van meer veranderlijken;
5;analyse;2003;0; Hoofdstuk 5 : Integratietheorie en integratiemethodes;
6;analyse;2003;0; Hoofdstuk 6 : Differentiaalvergelijkingen;
7;analyse;2003;0; Hoofdstuk 7 : Oneigenlijke integralen;
8;analyse;2003;0; Hoofdstuk 8 : Laplacetransformatie en convolutie;
9;analyse;2003;0; Hoofdstuk 9 : Integralen over krommen en oppervlakken;
10;analyse;2003;0; Hoofdstuk 10 : Lijnintegralen en oppervlakintegralen;
11;analyse;2003;0; Hoofdstuk 11 : Reeksen;
12;analyse;2003;0; Hoofdstuk 12 : Extremaalproblemen bij functies van meer veranderlijken;
13;analyse;2003;0; Hoofdstuk 13 : Stelsels differentiaalvergelijkingen;
14;analyse;2003;0; Oefeningen;
15;analyse;2003;0; Maple;
16;analyse;2003;0; Allerlei;
1;bmtk;1998;0; Doorboringen;
2;bmtk;1998;0; Axionometrie en Centrale Perspectief;
3;bmtk;1998;0; De rest van Beschrijvende Meetkunde;
1;bmtk;1999;0; Punten, Rechten en Vlakken (t.e.m. hfdstk 8);
2;bmtk;1999;0; Krommen, Oppervlakken, Volumes en Doorboringen;
3;bmtk;1999;0; Axonometrie ;
4;bmtk;1999;0; Centrale Perspectief;
5;bmtk;1999;0; De rest van Beschrijvende Meetkunde;
1;bmtk;2000;0; Punten, Rechten en Vlakken (t.e.m. hfdstk 8);
2;bmtk;2000;0; Krommen, Oppervlakken, Volumes en Doorboringen;
3;bmtk;2000;0; Axonometrie ;
4;bmtk;2000;0; Centrale Perspectief;
5;bmtk;2000;0; De rest van Beschrijvende Meetkunde;
1;bmtk;2001;0; Punten, Rechten en Vlakken;
2;bmtk;2001;0; Krommen, Oppervlakken, Volumes en Doorboringen;
3;bmtk;2001;0; Axonometrie ;
4;bmtk;2001;0; Centrale Perspectief;
5;bmtk;2001;0; De rest van Beschrijvende Meetkunde;
1;bmtk;2002;0; Punten, Rechten en Vlakken ;
2;bmtk;2002;0; Krommen, Oppervlakken, Volumes en Doorboringen;
3;bmtk;2002;0; Axonometrie ;
4;bmtk;2002;0; Centrale Perspectief;
5;bmtk;2002;0; De rest van Beschrijvende Meetkunde;
1;fvi;1998;0; Combinatoriek en Recursievergelijkingen;
2;fvi;1998;0; Complexiteit;
3;fvi;1998;0; Grafentheorie;
4;fvi;1998;0; herschrijfsystemen;
5;fvi;1998;0; vastepuntstheorie;
1;fvi;1999;0; Combinatoriek en Recursievergelijkingen;
2;fvi;1999;0; Complexiteit;
3;fvi;1999;0; Grafentheorie;
4;fvi;1999;0; herschrijfsystemen;
5;fvi;1999;0; vastepuntstheorie;
1;fvi;2000;0; Combinatoriek en Recursievergelijkingen;
2;fvi;2000;0; Complexiteit;
3;fvi;2000;0; Grafentheorie;
4;fvi;2000;0; herschrijfsystemen;
5;fvi;2000;0; vastepuntstheorie;
1;fvi;2001;0; Combinatoriek en Recursievergelijkingen;
2;fvi;2001;0; Complexiteit;
3;fvi;2001;0; Grafentheorie;
4;fvi;2001;0; herschrijfsystemen;
5;fvi;2001;0; vastepuntstheorie;
1;fvi;2002;0; Combinatoriek en Recursievergelijkingen;
2;fvi;2002;0; Complexiteit;
3;fvi;2002;0; Grafentheorie;
4;fvi;2002;0; herschrijfsystemen;
5;fvi;2002;0; vastepuntstheorie;
1;materiaalk;1999;0; De geschiedenis van de fiets;
2;materiaalk;1999;0; Wielen en spaken: corrosieweerstand;
3;materiaalk;1999;0; Mechanisch gedrag van spaken;
4;materiaalk;1999;0; Microstructuur en kristalstructuur van roestvaste spaken;
5;materiaalk;1999;0; Dislocaties en vervormingsversteviging van roestvaste spaken;
6;materiaalk;1999;0; Uitgloeien van koudvervormde spaken;
7;materiaalk;1999;0; Koolstofstaalspaken: plastische vervorming en vermoeiingsweerstand;
8;materiaalk;1999;0; Legeringen voor solderen en brazeren: fasediagramma's;
9;materiaalk;1999;0; Fasediagramma's voor spaken in koolstofstaal;
10;materiaalk;1999;0; De ketting en de lagers: wrijvingsweerstand en sleet; het harden van staal, keramische lagers;
11;materiaalk;1999;0; Wielvelgen: precipitatiegeharde aluminiumlegeringen;
12;materiaalk;1999;0; De fietskader;
13;materiaalk;1999;0; Polymeren: banden;
14;materiaalk;1999;0; Composietmaterialen: banden, kaders, wielen;
15;materiaalk;1999;0; De Walkman: magnetische opname en weergave;
16;materiaalk;1999;0; Elektronische materialen in de Walkman;
1;materiaalk;2000;0; De geschiedenis van de fiets;
2;materiaalk;2000;0; Wielen en spaken: corrosieweerstand;
3;materiaalk;2000;0; Mechanisch gedrag van spaken;
4;materiaalk;2000;0; Microstructuur en kristalstructuur van roestvaste spaken;
5;materiaalk;2000;0; Dislocaties en vervormingsversteviging van roestvaste spaken;
6;materiaalk;2000;0; Uitgloeien van koudvervormde spaken;
7;materiaalk;2000;0; Koolstofstaalspaken: plastische vervorming en vermoeiingsweerstand;
8;materiaalk;2000;0; Legeringen voor solderen en brazeren: fasediagramma's;
9;materiaalk;2000;0; Fasediagramma's voor spaken in koolstofstaal;
10;materiaalk;2000;0; De ketting en de lagers: wrijvingsweerstand en sleet; het harden van staal, keramische lagers;
11;materiaalk;2000;0; Wielvelgen: precipitatiegeharde aluminiumlegeringen;
12;materiaalk;2000;0; De fietskader;
13;materiaalk;2000;0; Polymeren: banden;
14;materiaalk;2000;0; Composietmaterialen: banden, kaders, wielen;
15;materiaalk;2000;0; De Walkman: magnetische opname en weergave;
16;materiaalk;2000;0; Elektronische materialen in de Walkman;
1;materiaalk;2001;0; De geschiedenis van de fiets;
2;materiaalk;2001;0; Wielen en spaken: corrosieweerstand;
3;materiaalk;2001;0; Mechanisch gedrag van spaken;
4;materiaalk;2001;0; Microstructuur en kristalstructuur van roestvaste spaken;
5;materiaalk;2001;0; Dislocaties en vervormingsversteviging van roestvaste spaken;
6;materiaalk;2001;0; Uitgloeien van koudvervormde spaken;
7;materiaalk;2001;0; Koolstofstaalspaken: plastische vervorming en vermoeiingsweerstand;
8;materiaalk;2001;0; Legeringen voor solderen en brazeren: fasediagramma's;
9;materiaalk;2001;0; Fasediagramma's voor spaken in koolstofstaal;
10;materiaalk;2001;0; De ketting en de lagers: wrijvingsweerstand en sleet; het harden van staal, keramische lagers;
11;materiaalk;2001;0; Wielvelgen: precipitatiegeharde aluminiumlegeringen;
12;materiaalk;2001;0; De fietskader;
13;materiaalk;2001;0; Polymeren: banden;
14;materiaalk;2001;0; Composietmaterialen: banden, kaders, wielen;
15;materiaalk;2001;0; De Walkman: magnetische opname en weergave;
16;materiaalk;2001;0; Elektronische materialen in de Walkman;
